State,Corn_Yield,Corn_Revenue,Soy_Yield,Soy_Price,Soy_Revenue,Hail_Count,TVS_Count,MDA_Count,Lightning_Count
AK,0.0,0.0,0.0,0.0,0.0,16192,341.0,4733,0.0
AL,16.0,77.12,31.0,10.2,316.2,416475,461.0,26057,43323.0
AR,20.0,88.4,55.0,10.2,561.0,279885,735.0,27816,41497.0
AZ,27.0,115.02,0.0,0.0,0.0,200210,104.0,3888,51981.0
CA,26.0,117.0,0.0,0.0,0.0,44338,911.0,85896,8441.0
CO,22.5,101.92500000000001,0.0,0.0,0.0,217715,889.0,13712,58976.0
CT,20.0,90.8,0.0,0.0,0.0,13124,73.0,3425,1859.0
DC,0.0,0.0,0.0,0.0,0.0,380,0.0,22,11.0
DE,23.0,96.83,45.0,9.5,427.5,4972,26.0,302,796.0
FL,16.0,67.52,0.0,0.0,0.0,565481,1715.0,24704,74258.0
GA,21.0,92.19,47.0,10.4,488.8,465241,1294.0,28671,43058.0
HI,0.0,0.0,0.0,0.0,0.0,502,12.0,1261,0.0
IA,24.0,103.44,60.0,10.0,600.0,263877,645.0,22492,43285.0
ID,30.0,134.1,0.0,0.0,0.0,33534,45.0,2225,17282.0
IL,24.0,118.08,64.0,10.3,659.2,424446,3258.0,33504,43168.0
IN,23.0,92.22999999999999,59.0,10.4,613.6,229435,1959.0,12953,22672.0
KS,16.0,74.56,35.0,9.65,337.75,588427,3963.0,51499,70887.0
KY,19.0,79.04,48.0,10.6,508.79999999999995,298261,1646.0,15807,29565.0
LA,18.0,73.62,52.0,10.3,535.6,337183,3869.0,100029,54311.0
MA,19.0,88.54,0.0,0.0,0.0,16859,267.0,5379,2302.0
MD,16.0,66.24,44.0,9.5,418.0,45977,224.0,2214,4612.0
ME,19.0,101.84,0.0,0.0,0.0,18305,46.0,2522,5822.0
MI,20.5,75.85000000000001,49.0,10.6,519.4,148741,805.0,6209,32166.0
MN,21.0,77.91,45.0,10.0,450.0,180897,382.0,10911,42757.0
MO,18.0,74.52,49.0,10.1,494.9,451674,2343.0,36940,60102.0
MS,16.0,64.32,56.0,10.5,588.0,264402,1035.0,32603,41124.0
MT,20.0,80.8,0.0,0.0,0.0,88676,123.0,4282,46456.0
NC,12.0,44.160000000000004,39.0,10.1,393.9,266753,1063.0,20179,29637.0
ND,15.0,64.05,37.5,9.7,363.75,122209,258.0,9750,35258.0
NE,21.0,76.02,57.5,9.9,569.25,270105,1157.0,23440,53527.0
NH,21.0,82.74,0.0,0.0,0.0,12215,113.0,1091,2363.0
NJ,17.0,67.66,43.0,9.7,417.09999999999997,37374,438.0,2332,3046.0
NM,22.0,111.32,0.0,0.0,0.0,212491,288.0,15481,65330.0
NV,25.0,92.5,0.0,0.0,0.0,42656,190.0,2467,15154.0
NY,19.0,67.07,51.0,9.6,489.59999999999997,106530,143.0,10611,15056.0
OH,20.0,73.2,50.0,10.2,509.99999999999994,190601,2710.0,11985,22295.0
OK,12.0,48.12,20.0,9.4,188.0,525162,6216.0,65047,56469.0
OR,23.0,92.92,0.0,0.0,0.0,14585,168.0,7709,8822.0
PA,16.0,59.68,45.0,9.6,432.0,147292,691.0,9682,17231.0
RI,18.0,81.72,0.0,0.0,0.0,2186,76.0,1831,309.0
SC,18.0,74.88,34.0,10.7,363.79999999999995,205746,451.0,11575,20252.0
SD,15.0,64.80000000000001,43.0,9.75,419.25,160488,279.0,9255,44588.0
TN,17.0,72.58999999999999,42.0,10.2,428.4,287573,2434.0,19229,29840.0
TX,18.0,76.85999999999999,32.0,9.45,302.4,1367614,13977.0,246113,175356.0
UT,23.0,101.66,0.0,0.0,0.0,56145,213.0,3063,28041.0
VA,14.0,59.08,44.0,9.8,431.20000000000005,145430,306.0,10285,17703.0
VT,19.0,76.76,0.0,0.0,0.0,15593,21.0,995,2652.0
WA,26.0,109.46,0.0,0.0,0.0,8200,376.0,6349,3937.0
WI,20.0,103.4,48.0,10.0,480.0,230422,1379.0,15283,35000.0
WV,12.0,51.599999999999994,0.0,0.0,0.0,70605,175.0,2941,11486.0
WY,23.0,89.47,0.0,0.0,0.0,60684,37.0,2389,33744.0
